IdSiniestro,Longitud,Latitud,IdComuna,TipoVia,NombreVia
20180022,-58.37441153,-34.63966783,4,Via Principal,"MONTES DE OCA, MANUEL AV."
20180023,-58.44110156,-34.62082399,6,Via Local,BARCO CENTENERA DEL
20180024,-58.47087351,-34.57827342,15,Via Principal,ALVAREZ THOMAS AV.
20180025,-58.45962210,-34.62245140,7,Via Principal,AVELLANEDA AV.
20180026,-58.41657793,-34.65476216,4,Via Principal,"RABANAL, FRANCISCO, INTENDENTE AV."
20180027,-58.41911301,-34.63722107,5,Via Local,CASTRO
20180028,-58.47120586,-34.64251042,9,Via Principal,"BILBAO, FRANCISCO AV."
20180029,-58.47418944,-34.62049672,11,Via Principal,NAZCA AV.
20180030,-58.46720441,-34.57905579,15,Via Principal,PLAZA
20180031,-58.46909362,-34.61779710,11,Via Principal,GAONA AV.
20180032,-58.44704343,-34.56888640,13,Via Principal,CABILDO AV.
20180033,-58.50535541,-34.62902048,10,Via Principal,CAMARONES
20180034,-58.40021675,-34.59522198,2,Via Principal,SANTA FE AV.
20180035,-58.46325991,-34.62919627,7,Via Principal,RIVADAVIA AV.
20180036,-58.49471482,-34.59694755,15,Via Principal,SAN MARTIN AV.
20180037,-58.39872610,-34.59975962,2,Via Principal,CORDOBA AV.
20180038,-58.38872177,-34.60885045,1,Via Principal,RIVADAVIA AV.
20180039,.,.,14,Autopista,"LUGONES, LEOPOLDO AV."
20180040,-58.45686132,-34.57305993,13,Via Local,"FREIRE, RAMON, CAP. GRAL."
20180041,-58.42281627,-34.64282424,4,Via Principal,LA PLATA AV.
20180042,-58.38666024,-34.63953396,4,Via Local,BRANDSEN
20180043,-58.49122843,-34.61207587,11,Via Principal,"VILARDEBO, TEODORO"
20180044,-58.40098306,-34.61866627,3,Via Principal,ALBERTI
20180045,-58.45448963,-34.57916920,13,Via Principal,ALVAREZ THOMAS AV.
20180046,-58.52927982,-34.63931752,9,Autopista,"PAZ, GRAL. AV."
20180047,-58.44759966,-34.59170240,15,Via Principal,CORRIENTES AV.
20180048,-58.46411215,-34.62925068,7,Via Principal,RIVADAVIA AV.
20180049,-58.46213220,-34.55395823,13,Via Local,QUESADA
20180050,-58.45669422,-34.56203610,13,Via Principal,CABILDO AV.
20180051,-58.35977160,-34.64341878,4,Via Local,CALIFORNIA
20180052,-58.49820145,-34.59070093,15,Via Principal,"CARRIL, SALVADOR MARIA DEL AV."
20180053,-58.41059280,-34.59939180,3,Via Local,SAN LUIS
20180054,-58.47969138,-34.57121563,12,Via Local,LUGONES
20180055,-58.40351561,-34.61883916,3,Via Principal,INDEPENDENCIA AV.
20180056,-58.51973844,-34.63918987,9,Via Principal,RIVADAVIA AV.
20180057,-58.39311376,-34.62163006,3,Via Local,COMBATE DE LOS POZOS
20180058,-58.43531242,-34.59082159,15,Via Principal,CORDOBA AV.
20180059,-58.41178165,-34.63035454,5,Via Principal,"GARAY, JUAN DE AV."
20180060,-58.37048800,-34.60189492,1,Via Principal,LAVALLE
20180061,-58.39883882,-34.61964833,3,Via Local,ESTADOS UNIDOS
20180062,-58.44110156,-34.62082399,6,Via Local,ROSARIO
20180063,-58.37093138,-34.59952725,1,Via Principal,"ALEM, LEANDRO N. AV."
20180064,-58.45855262,-34.63953253,7,Via Principal,VARELA AV.
20180065,-58.38161909,-34.59283447,1,Via Local,"PELLEGRINI, CARLOS"
20180066,-58.45511899,-34.58698157,15,Via Principal,CORRIENTES AV.
20180067,-58.37724226,-34.62973033,4,Via Principal,"MONTES DE OCA, MANUEL AV."
20180068,-58.45546217,-34.62930339,7,Via Principal,CARABOBO AV.
20180069,-58.39897064,-34.59954925,2,Via Principal,CORDOBA AV.
20180070,-58.40917826,-34.62126274,3,Via Local,ESTADOS UNIDOS
20180071,-58.36726348,-34.61099738,1,Via Principal,MORENO
20180072,-58.48267426,-34.68454456,8,Autopista,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.
20180073,-58.39546165,-34.65168841,4,Via Principal,"IRIARTE, GRAL. AV."
20180074,-58.46941984,-34.63376545,7,Via Principal,"ALBERDI, JUAN BAUTISTA AV."
