IdSiniestro,IdActorVictima,Sexo,TipoVictima,RangoEtario
20180091,4,Femenino,Fallecida,Adulto Joven
20180092,3,Masculino,Fallecida,Adulto Joven
20180093,1,Masculino,Fallecida,Adulto Joven
20180094,3,Masculino,Fallecida,Adulto 30 a 39
20180095,4,Femenino,Fallecida,Adulto 40 a 49
20180096,1,Masculino,Fallecida,Adulto 30 a 39
20180097,3,Femenino,Fallecida,Adulto 30 a 39
20180098,3,Masculino,Fallecida,Adulto 50 a 59
20180098,4,Masculino,Fallecida,Adulto 50 a 59
20180099,1,Masculino,Fallecida,Adulto Joven
20180100,,Femenino,Fallecida,Adulto 30 a 39
20180101,3,Masculino,Fallecida,
20180102,3,Masculino,Fallecida,Adulto Joven
20180103,1,Masculino,Fallecida,Infante
20180104,3,Masculino,Fallecida,Adulto Joven
20180105,1,Femenino,Fallecida,Adulto 50 a 59
20180106,3,Masculino,Fallecida,Adulto Joven
20180107,1,Femenino,Fallecida,Adulto Mayor
20180108,3,Masculino,Fallecida,Adulto 30 a 39
20180109,1,Masculino,Fallecida,Adulto 30 a 39
20180110,1,Masculino,Fallecida,Adulto Mayor
20180111,3,Masculino,Fallecida,Adulto Joven
20180112,3,Femenino,Fallecida,Adulto Joven
20180113,3,Masculino,Fallecida,Adulto Joven
20180114,3,Masculino,Fallecida,Adulto Joven
20180115,1,Masculino,Fallecida,Adulto 40 a 49
20180116,1,Masculino,Fallecida,Adulto 40 a 49
20180117,3,Masculino,Fallecida,Adulto 30 a 39
20180118,1,Femenino,Fallecida,Adulto Mayor
20180119,1,Femenino,Fallecida,Adulto 30 a 39
20180120,1,Femenino,Fallecida,Adulto 50 a 59
20180121,1,Femenino,Fallecida,Adulto Mayor
20180122,3,Masculino,Fallecida,Adulto 30 a 39
20180123,3,Masculino,Fallecida,Adulto Joven
20180124,3,Masculino,Fallecida,Adulto 40 a 49
20180125,1,Masculino,Fallecida,Adulto Joven
20180126,3,Masculino,Fallecida,Adulto Joven
20180127,3,Masculino,Fallecida,Adulto Joven
20180128,4,Masculino,Fallecida,Adulto 40 a 49
20180128,4,Femenino,Fallecida,Adulto 30 a 39
20180129,3,Masculino,Fallecida,Adulto 30 a 39
20180130,3,Masculino,Fallecida,
20180131,3,Masculino,Fallecida,Adulto Joven
20180132,1,Masculino,Fallecida,Adulto Mayor
20180133,1,Femenino,Fallecida,Adulto Mayor
20180134,1,Masculino,Fallecida,Adulto 50 a 59
20180135,1,Masculino,Fallecida,Adulto Mayor
20180136,1,Femenino,Fallecida,Adulto Mayor
20180137,4,Masculino,Fallecida,Adulto Joven
20180138,4,Femenino,Fallecida,Adulto Mayor
20180139,4,Masculino,Fallecida,Adulto Joven
20180140,3,Masculino,Fallecida,Adulto Mayor
20180141,1,Masculino,Fallecida,Adulto Mayor
20180142,4,Masculino,Fallecida,Adulto 30 a 39
20180143,3,Masculino,Fallecida,Adulto Joven
20190001,3,Masculino,Fallecida,Adulto Joven
20190002,3,Masculino,Fallecida,Adulto 30 a 39
20190003,3,Masculino,Fallecida,Adulto Joven
20190004,3,Masculino,Fallecida,Adulto Mayor
